Brand,Product_Description,Screen_Size,RAM,Processor,GPU,GPU_Type,Resolution,Condition,Price
0,80,15.6,0,0,0,0,0,0,344.99
0,79,14.0,0,1,1,0,1,0,189.99
0,77,14.0,0,0,0,0,2,1,289.99
1,78,14.603122508636531,1,2,2,0,0,0,349.99
2,77,15.6,0,3,0,1,0,2,538.95
3,75,15.6,1,0,0,0,0,2,439.0
3,80,15.6,2,4,0,0,0,2,369.95
4,78,14.0,2,5,3,1,0,2,309.0
0,80,15.6,1,4,0,0,0,2,459.0
0,79,15.6,0,4,0,0,0,2,499.0
5,78,13.5,2,6,0,0,3,3,349.0
0,80,15.6,0,7,0,0,0,3,529.98
0,78,14.0,2,8,1,0,4,1,179.99
1,78,14.603122508636531,1,1,4,0,0,0,319.99
5,78,13.5,2,2,4,0,3,0,245.0
0,77,13.3,1,9,5,0,0,0,202.45
0,80,14.0,0,10,6,0,1,4,179.99
0,77,15.6,0,11,7,2,0,0,314.96
1,76,14.0,0,12,0,0,0,2,550.0
0,71,14.0,2,13,8,0,5,2,419.0
1,79,14.0,0,12,0,0,0,3,459.0
2,72,13.4,0,14,9,2,5,0,732.0
4,50,15.6,1,15,3,1,1,2,401.0
1,75,14.0,3,16,3,0,0,0,429.0
1,79,14.0,0,10,3,0,0,0,219.99
1,80,13.4,3,17,0,0,6,3,710.0
0,80,13.3,2,4,0,0,0,0,247.45
2,79,15.6,0,7,9,2,0,3,699.0
1,80,15.6,1,2,2,0,0,0,322.0
1,78,15.6,1,2,2,0,0,0,299.99
1,80,14.0,2,10,1,0,4,0,319.99
1,78,13.3,0,18,3,0,1,4,229.99
2,80,15.6,0,14,0,0,0,2,214.5
2,76,15.6,0,6,0,0,0,3,365.0
6,80,15.6,0,18,10,1,0,1,509.99
0,78,14.0,0,2,5,0,0,4,279.99
3,80,11.6,2,19,6,2,4,3,119.99
3,80,14.0,2,6,0,0,0,2,494.99
2,71,15.6,2,20,5,0,0,2,327.0
1,80,14.0,1,18,2,0,0,0,399.99
1,79,15.6,1,0,5,2,0,2,439.0
1,80,15.6,0,2,5,0,1,0,237.99
0,52,15.6,2,21,3,1,7,2,300.0
1,52,14.0,0,22,4,0,4,3,149.99
1,80,15.6,1,18,2,2,0,0,446.0
5,74,12.4,2,23,5,0,8,2,299.0
3,78,16.0,0,14,0,0,9,3,425.0
0,80,15.6,2,24,5,0,0,3,269.0
1,78,14.0,0,18,2,0,0,4,239.99
3,72,15.6,0,2,2,0,0,1,249.99
0,77,14.0,0,4,3,0,1,2,404.99
2,80,15.6,0,14,11,2,0,2,799.99
0,80,16.0,0,14,12,2,10,2,899.99
3,77,15.6,2,4,0,0,0,2,399.0
3,77,15.6,2,25,5,0,4,2,339.0
1,79,15.6,0,6,3,0,1,2,499.0
3,45,15.6,2,6,0,0,1,2,499.99
7,78,15.6,3,26,3,1,1,2,799.99
5,72,13.5,1,4,3,1,1,2,528.88
0,80,14.5,0,18,2,0,0,0,239.99
1,73,15.6,0,14,0,0,0,2,579.0
3,77,14.0,0,4,0,1,0,2,459.95
0,80,13.3,2,4,0,0,0,0,269.95
3,77,15.6,2,27,13,2,0,2,525.0
0,58,15.6,0,28,3,1,0,2,429.98
5,77,13.3,2,23,4,0,3,3,291.46
1,79,13.3,0,7,0,0,0,3,515.0
1,72,15.6,2,6,5,0,0,2,390.0
2,78,14.5,2,12,0,0,11,2,629.0
3,80,15.6,0,2,2,1,0,0,234.59
1,78,15.6,2,2,14,0,0,0,152.99
1,80,12.5,2,1,4,0,1,0,129.99
5,78,13.5,2,1,4,1,3,4,160.99
0,74,13.3,0,29,5,0,0,3,409.94
1,73,14.0,0,2,2,1,0,0,159.99
0,65,15.6,2,18,2,0,0,3,349.99
2,69,13.4,0,30,15,0,0,3,799.99
0,77,15.6,0,14,0,0,0,3,494.1
1,77,13.3,2,18,3,0,1,4,199.99
5,79,13.5,0,6,0,0,3,4,555.99
3,75,14.0,3,18,2,0,0,4,319.99
8,80,15.0,3,18,16,0,10,1,499.0
0,77,14.0,0,4,0,0,0,3,419.0
3,77,14.0,2,10,17,0,0,1,139.99
4,78,14.0,2,31,0,0,6,2,449.95
5,58,15.0,0,14,0,0,3,3,697.99
0,79,17.3,0,24,5,0,0,3,289.0
5,69,14.4,0,16,12,2,12,3,750.0
1,74,14.0,2,2,2,0,0,2,194.0
1,80,14.0,0,12,0,0,0,3,519.99
0,65,14.0,2,4,3,1,1,3,310.25
9,77,15.6,1,32,18,1,1,4,549.99
10,78,10.1,0,1,19,0,5,4,669.0
1,79,14.0,0,2,2,0,1,0,189.99
3,71,16.0,0,12,20,2,0,4,699.99
2,79,13.4,0,30,15,0,5,2,868.88
5,53,13.0,0,4,0,0,1,2,559.0
11,73,17.0,0,29,21,0,10,0,419.99
7,80,15.6,2,4,22,2,0,2,528.95
3,80,15.6,2,33,5,0,0,3,309.95
9,76,15.6,0,14,0,0,0,1,489.99
0,78,14.0,0,7,0,0,13,3,600.0
3,75,15.6,0,0,0,0,0,2,519.0
9,80,15.6,0,7,0,0,0,4,603.99
1,79,15.6,0,0,5,0,0,2,599.0
12,76,14.1,2,34,23,0,0,2,160.0
2,77,14.0,2,6,0,0,11,3,475.0
3,80,15.6,2,33,5,0,4,2,352.85
5,78,15.0,0,16,0,0,3,2,649.0
0,73,14.0,0,18,2,0,0,1,249.99
0,79,14.0,2,35,15,0,1,2,224.66
1,76,14.0,0,14,24,2,5,3,589.0
0,79,15.6,2,33,5,0,1,2,329.99
1,80,15.6,0,36,25,2,1,0,499.0
0,79,14.0,4,4,3,0,1,2,449.99
1,80,15.6,0,2,5,0,1,0,231.99
0,79,14.0,0,23,5,0,0,0,404.96
0,78,15.6,2,6,3,1,1,4,344.99
1,78,14.0,0,4,0,0,0,0,329.99
5,80,15.0,0,29,26,2,14,2,599.99
13,80,15.6,2,1,27,0,1,0,179.99
0,79,15.6,3,18,28,1,0,0,399.99
1,80,13.4,0,29,29,0,5,0,409.99
1,80,15.6,2,4,5,0,0,2,105.5
1,77,14.0,0,37,30,1,0,0,159.0
11,78,17.0,0,14,0,0,10,1,499.0
5,72,12.0,5,38,6,0,15,3,159.99
0,80,15.6,0,33,5,0,1,2,394.99
1,72,14.0,0,7,3,0,1,3,675.0
9,74,13.3,0,7,0,0,0,4,789.99
1,73,15.6,2,6,5,0,0,2,399.0
1,79,14.0,1,18,2,0,0,0,399.99
1,79,15.6,0,23,5,0,5,1,399.99
1,80,14.0,3,18,4,0,0,4,389.99
0,80,14.0,3,7,0,2,5,2,969.99
1,79,15.6,2,4,5,0,0,2,398.75
1,78,15.6,0,16,0,0,0,4,369.99
0,78,14.0,0,2,5,0,0,4,249.99
9,79,13.3,2,16,0,1,0,4,489.99
1,78,14.0,1,2,2,0,0,0,249.99
1,78,14.0,1,39,3,1,1,0,199.99
3,80,14.0,0,23,5,0,16,2,518.0
11,77,17.0,0,7,0,0,10,3,669.0
9,80,13.3,2,6,0,1,0,4,439.99
1,79,16.0,3,40,3,3,10,3,729.0
1,69,14.0,0,7,5,0,17,1,499.0
5,64,13.0,2,6,0,0,1,2,650.0
0,78,14.0,2,6,0,0,0,3,314.5
2,75,15.6,2,0,0,0,1,2,369.95
1,78,14.0,3,7,0,0,10,4,959.99
1,78,14.0,0,14,0,1,10,4,679.99
3,76,14.0,2,11,4,0,0,0,199.99
3,79,15.6,2,4,5,0,0,2,359.75
7,54,17.3,0,41,3,1,1,2,410.0
